Provincia;Partido;Localidad;Poblacion;ADSL;CABLEMODEM;DIALUP;FIBRAOPTICA;SATELITAL;WIRELESS;TELEFONIAFIJA;3G;4G;link;Latitud;Longitud
SAN LUIS;Ayacucho;Balde De Azcurra;0;--;--;--;--;--;--;--;--;--;74007050.0;-32,1365131493381;-66,854453887488
BUENOS AIRES;Necochea;Costa Bonita;0;--;--;--;--;--;SI;--;SI;SI;6581040.0;-38,559592;-58,6306517
BUENOS AIRES;Colón;El Arbolito;0;--;--;--;--;--;--;SI;--;--;6175010.0;-33,9147838019682;-60,9438081845998
BUENOS AIRES;Coronel de Marina L. Rosales;Villa del Mar;0;--;--;--;--;--;--;--;SI;SI;6182030.0;-38,8532242630709;-62,1164752039925
BUENOS AIRES;La Costa;Lucila Del Mar;0;SI;SI;--;SI;--;SI;--;SI;SI;6420030.0;-36,6627491358367;-56,6817136067571
BUENOS AIRES;Villa Gesell;Mar De Las Pampas;0;--;--;--;--;--;--;--;SI;SI;6868020.0;-37,3281312355181;-57,0399070097774
BUENOS AIRES;Zárate;Barrio Saavedra;0;--;--;--;--;--;--;--;SI;SI;6882050.0;-34,1263843372848;-59,020156759664
SAN LUIS;Libertador Grl. San Martín;Los Comederos;0;--;--;--;--;--;--;--;--;--;74063020.0;-32,7289421728431;-65,7305490571348
SAN LUIS;Libertador Grl. San Martín;Mesilla Del Cura;0;--;--;--;--;--;--;--;--;--;74063050.0;-32,44741394;-65,82632991
BUENOS AIRES;Ensenada;Dique Nº 1;0;--;--;--;--;--;--;--;SI;SI;6245010.0;-34,8758485548313;-57,9336298993983
BUENOS AIRES;Ensenada;Isla Santiago (Oeste);0;--;--;--;--;--;--;--;--;SI;6245010.0;-34,8370461990756;-57,8999620408998
BUENOS AIRES;Ensenada;Punta Lara;0;--;--;--;--;--;--;--;SI;SI;6245010.0;-34,8346689394776;-58,0010481870988
BUENOS AIRES;Ensenada;Villa Catela;0;--;--;--;--;--;SI;--;SI;SI;6245010.0;-34,884600148052;-57,9511290255284
BUENOS AIRES;Exaltación de la Cruz;El Remanso;0;SI;--;--;--;--;SI;SI;SI;SI;6266030.0;-34,4149477393736;-59,086281182388
BUENOS AIRES;La Plata;Abasto;0;SI;SI;--;SI;--;SI;SI;SI;SI;6441030.0;-35,0103681960184;-58,1151848585184
BUENOS AIRES;La Plata;Angel Etcheverry;0;--;SI;--;--;--;SI;--;SI;SI;6441030.0;-35,0261580911328;-58,0959060056615
